id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
608077,Landing Page Submission,Direct Traffic,No,No,0,12.0,1354,6.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,,,Yes
589308,API,Google,No,No,0,3.0,56,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
645305,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
656589,Landing Page Submission,Google,No,No,0,4.0,157,4.0,Email Opened,Operations Management,,No,No,No,No,No,No,14.0,17.0,No
658831,API,Chat,No,No,1,10.0,1815,3.33,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
597759,Landing Page Submission,Organic Search,No,No,0,5.0,912,5.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
580732,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,479,1.0,Email Bounced,Hospitality Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
650088,API,Google,No,No,0,3.0,1293,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
588873,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,14.0,18.0,No
608753,Landing Page Submission,Direct Traffic,No,No,0,2.0,1133,2.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
608257,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
600434,Landing Page Submission,Direct Traffic,No,No,0,2.0,497,2.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
644871,API,Google,No,No,0,5.0,71,5.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
616901,API,Organic Search,No,No,0,2.0,1456,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
644953,API,Google,No,No,1,5.0,1323,2.5,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No
615155,Landing Page Submission,Google,Yes,No,0,3.0,303,3.0,Email Bounced,Operations Management,Unemployed,No,No,No,No,No,No,,,No
597417,Landing Page Submission,Google,No,No,0,4.0,434,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
630128,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,305,2.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,Yes
639859,Landing Page Submission,Organic Search,No,No,1,3.0,312,1.5,Email Link Clicked,Services Excellence,Working Professional,No,No,No,No,No,No,14.0,15.0,Yes
